央视高清,#genre#
CCTV-4K,https://live-dtocnc-cdn.ysp.cctv.cn/D707DD5E69AAAF2764CBFA51493F35BBD360B9A5BA38D09E51DD18A5D74E10768D734AD1461500AD548B4308A83831153ED65241F0E35B403DDD5895739E13E4F433A993928E847F1E695FB91B742848A436FFBED7C2F021008420A18AC86FE15A31122E89944E5CB6E4B6B2B8910728/2022575202.m3u8
CCTV-8K,http://[2409:8087:2001:20:2800:0:df6e:eb03]/ott.mobaibox.com/PLTV/4/224/3221228165/index.m3u8
CGTN,https://live-dtocnc-cdn.ysp.cctv.cn/7CB959DECB7D75B64C1AC19446F96F6E87115AA2F544B5CE804BFE7F3D47362575C8B7E3C2B462B17EFBEFF9FB2122D68A5D1163BF1F14B6F90B86E29E2DB0A0AF13698782229E52C0C450DB34DD6B6C726481AE5EE708F7E3B461DB05790ADC476DD89BA864A244E51B54281E3EC8ED/2022575003.m3u8
CGTN法语频道,https://live-dtocnc-cdn.ysp.cctv.cn/CB05F4822D2AE57C43BF2FF1CDFD1C61F643428566E344A2F3A7F4D4294096B8DFDD3152C6CE9171958938D4772F7C7020FC8FCC0811535579B8BE090BD049567EB57F05534D04415C2D4A380427DC457E03492268EB96352263823A9D3CC4CFD9196655BA3B9BAA6FFD49C526358748/2022574903.m3u8
CGTN俄语频道,https://live-dtocnc-cdn.ysp.cctv.cn/E128863D22902E318D0E6F9FB03487F8E65AFEAA7ADCAD634BE3A7E5F678BC55E2235A1CF7E72D2D1890BEEBC443A7352C5E89A5F5E26E4466CB3D392141CD61C7BF5518F0053EE5D6A61F76BD4BB7E218E6126FE1CE6B41941FA181FC0106E6FBD0E359090EDA168383080E3E3A8E49/2022574803.m3u8
CGTN阿拉伯语频道,https://live-dtocnc-cdn.ysp.cctv.cn/AC91862523C9CC6D8CD38D7179D88FA29C4FD5C09611F3364E80BACCD1D20EA0AE08300A6EC943478A6D41649A44E667FCFAEBF4B93E07B6FD57B388816599E56548DFCD44097BF40E2AFB8CDE3522621E60B8602F58BAF7460421BAA89D4AC618B2C97E8A196FE2235B8A5469227A80/2022574603.m3u8
CGTN西班牙语频道,https://live-dtocnc-cdn.ysp.cctv.cn/7CDE33873C8D58BC224DC58C6D276B22DEA14AD28C4EA1162364A6618E8F6AA50D760B6DA0597E79C47678221C2C978CC3C7BCAF65293FC50FB6D2474DCC1825B1BD6B88A9E9169B1C766D77B657F8168E71FC7C7918E0E65A76E8E8AB4A65EC48BD74692F7446BDD7053D96AFCA23AB/2022571703.m3u8
CGTN外语记录频道,https://live-dtocnc-cdn.ysp.cctv.cn/ED5865020F13C56708E69B54C3FD2C7C2995CD8A50F68EFEE6F9FF47EF88458A0729195BD327377AE6EC500BE6FD64236BAC2E899ABFDACE302EF94DA7698BF2846C8E75157CC567320BDAA58FC73C0523AD1B6898C0D6D31818A41740A013C3B81592DA2046E2F16DE0C8EEB3889493/2022574703.m3u8

卫视高清,#genre#
北京卫视,https://live-dtocnc-cdn.ysp.cctv.cn/286DEA7ACDD1B259D6D05F5D024F2E5D43AD990BFB107F636B47AE200640B372981CFF0219C9C939FA7817F6682B2B2174238363ABD8C9D6F2CAC0DC9EAD3134F8A1EB3872C6D646CC342A0BE2A0504C15968B18DDFC552A376B2B6BBE21244296BFBFCFA59C4E79B9B171D956252C99/2000272102.m3u8
江苏卫视,https://live-dtocnc-cdn.ysp.cctv.cn/4DD89F1971654FD150058C319C69239FF264C4B0C0A7A71A3E4DBC2E0ADC472BF6C0C7437D7D0127D46278941C339431BB21E79B2F247E8CC15FB87DAAB7B8493828CE64CBF63EA677BFF61A142E1914C7D9E51980003D26269AB10A323E5BA5A13732DA3FA96065DC3F3BC24024C695/2000295602.m3u8
东方卫视,https://live-dtocnc-cdn.ysp.cctv.cn/3E90078C23A1D59ECDBD77DC0B1D2DD43EC520C616518E616D7DAA3F39A6FCF067C84AF5F742632EF120D8533072763E12754DD5571EEC72DDBE62E939A957783EFCD03068F0569348DF6D0BA356BAF5CD92EDECE5EFAFC2AB195F9E038C89AA2126D8152FB939B35EFA1EE9A28A8E69/2000292402.m3u8
浙江卫视,https://live-dtocnc-cdn.ysp.cctv.cn/516E69E5B9E9406F139054B7FE337244471E4A9493079E34CD159F431DD7624DE9F2B76BA5A0F06329CFEC004C690FB9A6FD3C9EBDDB86A2433A35C3AEC8966845C6605693AD4AF29E8A66906E41E9E4C42D37A40134A71E1CDDCA933A7FBFDE7AD220606B92E5910044DAA4092A113A/2000295502.m3u8
湖南卫视,https://live-dtocnc-cdn.ysp.cctv.cn/97784994A7E3E20451BCBA97788D190830C349C46A6BDC97B668BB7BBB874603F6FC810A87D9D3DEBC353580D75B3E10DBF29A44BDFB6C0FD250612BFE2049A46CE16758895889886CD90643BFFFE88D277975E04B77EBA76DA798951067F9E0B6BFB88A7FE016C14F52D86527249037/2000296202.m3u8
湖北卫视,https://live-dtocnc-cdn.ysp.cctv.cn/4B3A1FA14EB83B7A8377DCCB072AEEBE1E4726120FC080F83154D32BCC92180C2EC4E0B3D3083D9C5996EA69E14AFDD399AE0850CF0D493BCFA0BF0B61CCE2A5EDEADCFB7AAEFC2258A07BA5FBF4D5FD9FA64454BF7AD1FC7DF7C49FA0EFF0ECD792BE113CD72531EE696918AFA27486/2000294502.m3u8
广东卫视,https://live-dtocnc-cdn.ysp.cctv.cn/133E6AA06765FCA084003029E52CC4F980815B51E4107CF5B62F3C8DDDB17EB057955E644D79105DF86357E2B75EF9CACF60297BEB3027F12EF24D7A90663BB74FB29B086E5DEDD191CB86AA96B43802E7B228CB5F4935D0436E58E8C58A6A9394E4FEAE4931C93200CFD7B4A68C891F/2000292702.m3u8
广西卫视,https://live-dtocnc-cdn.ysp.cctv.cn/4FBA6FB9E6E718397DD5627CB50D7DE8918A4157F9A873BC00365B9B51587ECE23A6DA8431AE9BE7BFDFC76C1F9FAA2EB33F78436F2C1E063D163E0DE61236E26E046F5FB714500B17DC03D2DD6DB70644B994E174086FC1FB58E7FCE3116797E7B6F189D824305D50B2ED750DD97F74/2000294202.m3u8
黑龙江卫视,https://live-dtocnc-cdn.ysp.cctv.cn/69D016CFEAB0B58391DB037623256A946BB50D8F58A23F5658178AA8FFB2898B736E753C13C19834047E0FA8449F2236EA16640D139D15EC30CFFEE79AA9978654F47BDF098A42589BCAA54A67BED17C3E3750A8EDABC12F1BE6B2FCDC53ED48A7164583358187BFF52E89609C114D76/2000293902.m3u8
海南卫视,https://live-dtocnc-cdn.ysp.cctv.cn/D231A7F8F957858B45F13920D5232A15FE964AAB08D71BDB5A9E35E5FA20AB0693C9372E43C7DC3D5DBF9B1FAFC7A95C5E6ECCB3F5E625C5E5293CB3E79C0DB2B40023E43E5D714A0E0B354FAC9E551EE26DEA5188C88F6CC605937AF1E3436D42CCDC6F0A7B16D0AD122E0ACEE731BF/2000291502.m3u8
重庆卫视,http://[2409:8087:2001:20:2800:0:df6e:eb09]:80/ott.mobaibox.com/PLTV/4/224/3221228133/index.m3u8
深圳卫视,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001342/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
四川卫视,http://[2409:8087:2001:20:2800:0:df6e:eb08]:80/ott.mobaibox.com/PLTV/4/224/3221228171/index.m3u8
河南卫视,http://[2409:8087:2001:20:2800:0:df6e:eb16]:80/ott.mobaibox.com/PLTV/4/224/3221228221/index.m3u8
福建东南卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225950/index.m3u8
贵州卫视,http://[2409:8087:2001:20:2800:0:df6e:eb09]:80/ott.mobaibox.com/PLTV/4/224/3221228136/index.m3u8
江西卫视,http://[2409:8087:2001:20:2800:0:df6e:eb17]:80/ott.mobaibox.com/PLTV/4/224/3221228109/index.m3u8
辽宁卫视,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001340/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
安徽卫视,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001346/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
河北卫视,http://[2409:8087:2001:20:2800:0:df6e:eb04]:80/ott.mobaibox.com/PLTV/4/224/3221228106/index.m3u8
山东卫视,http://[2409:8087:2001:20:2800:0:df6e:eb11]:80/ott.mobaibox.com/PLTV/4/224/3221227517/index.m3u8
吉林卫视,http://[2409:8087:2001:20:2800:0:df6e:eb03]:80/ott.mobaibox.com/PLTV/4/224/3221228130/index.m3u8
甘肃卫视,http://[2409:8087:2001:20:2800:0:df6e:eb1a]:80/wh7f454c46tw1400573680_-1979013462/ott.mobaibox.com/PLTV/3/224/3221227568/index.m3u8
天津卫视,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001343/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
云南卫视,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001046/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
新疆卫视,http://[2409:8087:2001:20:2800:0:df6e:eb0b]/wh7f454c46tw993550557_162751766/ott.mobaibox.com/PLTV/3/224/3221228290/index.m3u8?icpid=3&RTS=1668604377&from=40&popid=40&hms_devid=2038&prioritypopid=40&vqe=3
三沙卫视,http://[2409:8087:2001:20:2800:0:df6e:eb21]:80/ott.mobaibox.com/PLTV/4/224/3221228626/index.m3u8
青海卫视,http://[2409:8087:2001:20:2800:0:df6e:eb1b]/wh7f454c46tw1221605145_-1738716276/ott.mobaibox.com/PLTV/3/224/3221227554/index.m3u8?icpid=3&RTS=1668600311&from=40&popid=40&hms_devid=2116&prioritypopid=40&vqe=3
陕西卫视,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001062/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
山西卫视,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001038/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
西藏卫视,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001302/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
内蒙古卫视,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001035/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
宁夏卫视,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001061/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
兵团卫视,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001304/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
安多卫视,http://[2409:8087:7004:20:1000::22]:6610/yinhe/2/ch00000090990000001311/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
康巴卫视,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001313/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
大湾区卫视,http://[2409:8087:7004:20:1000::22]:6610/yinhe/2/ch00000090990000001305/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
农林卫视,http://[2409:8087:7004:20:1000::22]:6610/yinhe/2/ch00000090990000001312/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
延边卫视,http://[2409:8087:7004:20:1000::22]:6610/yinhe/2/ch00000090990000001307/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
厦门卫视,http://[2409:8087:7004:20:1000::22]:6610/yinhe/2/ch00000090990000001306/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
